street_name,place,address,lat,lon,importance
WHAMPOA WEST,WHAMPOA WEST Singapore,"Whampoa West, Kallang, Singapore, Central, 339943, Singapore",1.3198991,103.864694,0.41
LOR LIMAU,lorong LIMAU Singapore,"Lorong Limau, Novena, Singapore, Central, 320089, Singapore",1.3239704,103.8552022,0.41
KALLANG BAHRU,KALLANG BAHRU Singapore,"Kallang Bahru, Kallang, Singapore, Central, 339351, Singapore",1.3207468,103.8707429,0.41
GEYLANG BAHRU,GEYLANG BAHRU Singapore,"Geylang Bahru, Kallang, Singapore, Central, 339351, Singapore",1.3209154,103.8712902,0.41
DORSET RD,DORSET RD Singapore,"Dorset Road, Farrer Park Gardens, Kallang, Singapore, Central, 219458, Singapore",1.3131313,103.8499868,0.41
OWEN RD,OWEN RD Singapore,"Owen Road, Farrer Park Gardens, Kallang, Singapore, Central, 218922, Singapore",1.313624,103.8530998,0.41
KG ARANG RD,kampong ARANG RD Singapore,"Kampong Arang Road, Kallang, Southeast, 438178, Singapore",1.3012664,103.8846159,0.41
JLN BAHAGIA,jalan BAHAGIA Singapore,"Jalan Bahagia, Novena, Singapore, Central, 327691, Singapore",1.3278885,103.8564145,0.41
MOULMEIN RD,MOULMEIN RD Singapore,"Moulmein Road, Novena, Singapore, Central, 308143, Singapore",1.3188578,103.8475211,0.31
TOWNER RD,TOWNER RD Singapore,"Towner Road, Kallang, Singapore, Central, 320111, Singapore",1.3206001,103.8578367,0.31
JLN RAJAH,jalan RAJAH Singapore,"Jalan Rajah, Novena, Singapore, Central, 329162, Singapore",1.3275894,103.8547477,0.41
KENT RD,KENT RD Singapore,"Kent Road, Kallang, Singapore, Central, 210054, Singapore",1.3170197,103.8529832,0.31
AH HOOD RD,AH HOOD RD Singapore,"Ah Hood Road, Novena, Singapore, Central, 329876, Singapore",1.3273012,103.8448408,0.41
KING GEORGE'S AVE,KING GEORGE'S AVE Singapore,"King George's Avenue, Kallang, Singapore, Central, 208557, Singapore",1.3077127,103.8595308,0.61
CRAWFORD LANE,CRAWFORD LANE Singapore,"Crawford Lane, Crawford Court, Kallang, Singapore, Central, 190466, Singapore",1.3048464,103.8625836,0.385
MARINE CRES,MARINE CRES Singapore,"Marine Crescent, Marine Parade, Southeast, 440058, Singapore",1.3060865,103.9135742,0.41
MARINE DR,MARINE DR Singapore,"Marine Drive, Marine Drive Gardens, Marine Parade, Southeast, 441065, Singapore",1.3031183,103.9093336,0.41
MARINE TER,MARINE TER Singapore,"Marine Terrace, Marine Parade, Southeast, 440054, Singapore",1.3050451,103.9153604,0.41
C'WEALTH CL,C'WEALTH CL Singapore,"Commonwealth Station Exit A/D, Commonwealth Avenue, Queenstown, Singapore, Central, 149735, Singapore",1.3020355,103.7983964,0.311
C'WEALTH DR,C'WEALTH DR Singapore,"Commonwealth Station Exit A/D, Commonwealth Avenue, Queenstown, Singapore, Central, 149735, Singapore",1.3020355,103.7983964,0.311
TANGLIN HALT RD,TANGLIN HALT RD Singapore,"Tanglin Halt Road, Tanglin Halt, Queenstown, Singapore, Central, 140463, Singapore",1.3003118,103.7979386,0.41
C'WEALTH CRES,C'WEALTH CRES Singapore,"Commonwealth Station Exit A/D, Commonwealth Avenue, Queenstown, Singapore, Central, 149735, Singapore",1.3020355,103.7983964,0.311
DOVER RD,DOVER RD Singapore,"Dover Road, Nepal Hill, Pasir Panjang, Southwest, 139967, Singapore",1.2993846,103.7854078,0.31
MARGARET DR,MARGARET DR Singapore,"Margaret Drive, Queenstown, Singapore, Central, 149303, Singapore",1.2968325,103.8083406,0.41
GHIM MOH RD,GHIM MOH RD Singapore,"Ghim Moh Road, Ulu Pandan, Northwest, 270003, Singapore",1.3116995,103.7872679,0.41
DOVER CRES,DOVER CRES Singapore,"Dover Crescent, Rochester Hill, Queenstown, Southwest, 130005, Singapore",1.3043193,103.7821495,0.41
STIRLING RD,STIRLING RD Singapore,"Stirling Road, Queenstown, Singapore, Central, 140165, Singapore",1.2912182,103.8020066,0.31
MEI LING ST,MEI LING ST Singapore,"Mei Ling Street, Queenstown, Singapore, Central, 141148, Singapore",1.2941108,103.8039865,0.51
HOLLAND CL,HOLLAND CL Singapore,"Holland Close, Queenstown, Northwest, 271006, Singapore",1.3073048,103.7960335,0.41
HOLLAND AVE,HOLLAND AVE Singapore,"Holland Avenue, Bukit Timah, Northwest, 278967, Singapore",1.3102774,103.7956497,0.41
HOLLAND DR,HOLLAND DR Singapore,"Holland Drive, Ulu Pandan, Northwest, 271021, Singapore",1.3112157,103.7926426,0.41
